dataset,device,input_shape,kind,meta_classes,meta_features,meta_regimes,meta_test_shift,meta_test_size,meta_train_shift,meta_train_size,meta_window,metrics_test_accuracy,metrics_test_macro_f1,metrics_test_mae,metrics_test_mase,metrics_test_mse,metrics_test_nrmse,metrics_test_r2,metrics_test_rmse,metrics_test_smape,metrics_train_accuracy,metrics_train_macro_f1,metrics_train_mae,metrics_train_mase,metrics_train_mse,metrics_train_nrmse,metrics_train_r2,metrics_train_rmse,metrics_train_smape,model,n_params,preds_path,run_id,seed,status,task,test_size,train_size,train_time_s
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,0.3722482919692993,0.23946085658206875,0.3200705945491791,0.06684894659708926,0.8436858505010605,0.5657478188638283,0.45430654287338257,,,0.28948095440864563,0.2477661337758757,0.2457452416419983,0.04215625920620718,0.7976583391427994,0.4957269829674377,0.44896283745765686,res_no_norm,35461,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__res_no_norm__seed1.npz,tabular_shifted:res_no_norm:seed1,1,ok,regression,256,1024,3.417854700004682
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,1.0356371402740479,0.702168063275315,1.7514156103134155,0.1707708217794152,0.017496347427368164,1.323410597778866,0.8561211824417114,,,0.7198667526245117,0.6544417534939819,0.8852815628051758,0.10289209835788123,0.12113404273986816,0.9408940231530731,0.765393853187561,sgr_base,16257,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__sgr_base__seed0.npz,tabular_shifted:sgr_base:seed0,0,ok,regression,256,1024,6.342931799823418
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,1.029858112335205,0.6624898248240169,1.9326668977737427,0.16426694635460368,0.05613583326339722,1.3902039051066368,0.8319711685180664,,,0.7703475952148438,0.6593388698742826,1.0618760585784912,0.08763072849417876,0.12567269802093506,1.0304737059132034,0.7940388321876526,sgr_base,16257,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__sgr_base__seed1.npz,tabular_shifted:sgr_base:seed1,1,ok,regression,256,1024,8.685997699853033
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,1.0392799377441406,0.7046379013537393,1.7660362720489502,0.17148213019530723,0.009294509887695312,1.328922974460503,0.8627071380615234,,,0.7196753025054932,0.6542677032949133,0.8867002725601196,0.10297451032366137,0.11972564458847046,0.9416476371552788,0.7678050994873047,sgr_fourier_feats,16257,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__sgr_fourier_feats__seed0.npz,tabular_shifted:sgr_fourier_feats:seed0,0,ok,regression,256,1024,7.869064599974081
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,1.0269787311553955,0.6606375689544309,1.9150853157043457,0.1635180663769193,0.06472218036651611,1.3838660757834718,0.8270291090011597,,,0.7724528312683105,0.6611407369391421,1.0604405403137207,0.08757147579051136,0.12685471773147583,1.0297769371634427,0.7930293083190918,sgr_fourier_feats,16257,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__sgr_fourier_feats__seed1.npz,tabular_shifted:sgr_fourier_feats:seed1,1,ok,regression,256,1024,13.332400599960238
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,1.018800973892212,0.6907530435916964,1.6609270572662354,0.1663008006847478,0.06825834512710571,1.288769590449059,0.8556236028671265,,,0.7269023656845093,0.6608379357472991,0.8795710802078247,0.10255971025365869,0.12680315971374512,0.9378545090832717,0.767162561416626,sgr_no_gate,9729,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__sgr_no_gate__seed0.npz,tabular_shifted:sgr_no_gate:seed0,0,ok,regression,256,1024,1.5471725000534207
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,1.0219323635101318,0.6573913283536479,1.8759534358978271,0.16183882137109135,0.08383321762084961,1.369654495081817,0.8179419636726379,,,0.78022301197052,0.6677912180917248,1.0615158081054688,0.08761586249870575,0.12596935033798218,1.0302988926061547,0.7934718728065491,sgr_no_gate,9729,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__sgr_no_gate__seed1.npz,tabular_shifted:sgr_no_gate:seed1,1,ok,regression,256,1024,2.0195734000299126
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,1.037314772605896,0.7033055078488364,1.760033369064331,0.1711904411617402,0.012661993503570557,1.3266624925218664,0.8588607907295227,,,0.7199907302856445,0.6545544634610001,0.8859258890151978,0.10292953504471371,0.12049442529678345,0.9412363619278623,0.7652806639671326,sgr_no_phase,16257,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__sgr_no_phase__seed0.npz,tabular_shifted:sgr_no_phase:seed0,0,ok,regression,256,1024,6.451557099819183
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,1.0307966470718384,0.663093567908444,1.9337754249572754,0.16431404921333803,0.055594444274902344,1.3906025402527047,0.8335459232330322,,,0.7712992429733276,0.6601533831686638,1.061447262763977,0.08761303364014175,0.12602579593658447,1.0302656272845256,0.7938693165779114,sgr_no_phase,16257,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__sgr_no_phase__seed1.npz,tabular_shifted:sgr_no_phase:seed1,1,ok,regression,256,1024,10.490918199997395
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,0.8044660091400146,0.5454326787268283,1.2305107116699219,0.14314024608554807,0.30971193313598633,1.109283873347991,0.7244884967803955,,,0.11467476189136505,0.10425256060246946,0.02270692214369774,0.016478605237579907,0.9774576351046562,0.15068816192288542,0.24933573603630066,wrn_base,52295,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__wrn_base__seed0.npz,tabular_shifted:wrn_base:seed0,0,ok,regression,256,1024,4.396212899824604
