task,model,seed,params_total,params_trainable,param_target,param_mismatch,param_mismatch_ratio,train_size,val_size,test_size,input_shape,epochs,val_loss,steps,train_mse,train_rmse,train_mae,train_smape,train_r2,val_mse,val_rmse,val_mae,val_smape,val_r2,test_mse,test_rmse,test_mae,test_smape,test_r2,history_length,loss_curve_volatility,loss_curve_mean_abs_diff,val_curve_volatility,epoch_time_s_mean,step_time_s_mean,grad_norm_max,loss_nonfinite_steps,grad_nonfinite_steps,train_time_s_total
beijing_light,psann_conv,0,30662,30662,30662,0,0.0,1996,427,427,"[24, 16]",20,0.3204246163368225,160,0.22727951407432556,0.4767384126272243,0.30898866057395935,0.5576340556144714,0.7908499240875244,0.3204246461391449,0.5660606382174483,0.33012351393699646,0.546968400478363,0.6872931122779846,0.17824633419513702,0.4221922952815897,0.29021909832954407,0.6533448100090027,0.5804665684700012,20,0.20038907770193837,0.044867723097329455,0.13117397643356682,0.05737975935626309,0.00701141884419485,1.3099780545097324,0,0,1.1485863169655204
beijing_light,mlp,0,30759,30759,30662,97,0.003163524884221512,1996,427,427,"[24, 16]",20,0.8067988753318787,160,0.1039729192852974,0.32244832033257265,0.21976421773433685,0.4769350588321686,0.9043200612068176,0.8067989349365234,0.8982198700410292,0.5323235988616943,0.7943482398986816,0.21232490241527557,0.34619009494781494,0.5883792101594132,0.43328186869621277,0.8122100234031677,0.1851828545331955,20,0.16923676373669871,0.039466736412490926,0.08906592049204569,0.011267930894973688,0.0013422120551695115,1.604137018419881,0,0,0.2257212310214527
beijing_light,psann_conv,1,30662,30662,30662,0,0.0,1996,427,427,"[24, 16]",20,0.3084486722946167,160,0.2148529291152954,0.4635223070309512,0.29489198327064514,0.5559139251708984,0.8022856116294861,0.3084487020969391,0.5553815824250379,0.31809768080711365,0.557762861251831,0.6989849209785461,0.18336722254753113,0.4282139915363943,0.312272310256958,0.7338184714317322,0.5684138536453247,20,0.19671553541622022,0.044661035391301396,0.12352363451234384,0.051043135856161825,0.006220150208173436,1.2886704055688494,0,0,1.021830025012605
beijing_light,mlp,1,30759,30759,30662,97,0.003163524884221512,1996,427,427,"[24, 16]",20,0.6686838865280151,160,0.11124756932258606,0.33353795784376034,0.22764724493026733,0.49639683961868286,0.8976256251335144,0.6686839461326599,0.8177309741795648,0.47879019379615784,0.699100911617279,0.3472172021865845,0.30181264877319336,0.549374779884546,0.40601345896720886,0.7923882007598877,0.28963330388069153,20,0.18712443050822264,0.043478801548669586,0.08046044573912939,0.005463429895462469,0.0006210489995282842,1.4860463919443267,0,0,0.10961140098515898
beijing_light,psann_conv,2,30662,30662,30662,0,0.0,1996,427,427,"[24, 16]",20,0.31301742792129517,160,0.21701328456401825,0.4658468466824888,0.29765191674232483,0.5615668296813965,0.8002974987030029,0.31301742792129517,0.5594796045623962,0.32553350925445557,0.5692360401153564,0.6945204734802246,0.19619402289390564,0.4429379447438497,0.3314317464828491,0.7703665494918823,0.5382241606712341,20,0.20053372082342638,0.04509815862568328,0.13081919948843748,0.051066439191345125,0.006229478380191722,1.5151967174432486,0,0,1.022344527009409
beijing_light,mlp,2,30759,30759,30662,97,0.003163524884221512,1996,427,427,"[24, 16]",20,0.7866325974464417,160,0.11454377323389053,0.3384431610091871,0.23118358850479126,0.49536705017089844,0.89459228515625,0.7866325974464417,0.8869231068398442,0.5274251699447632,0.7414942383766174,0.2320234179496765,0.4161584675312042,0.6451034549056486,0.4634808599948883,0.7912563681602478,0.02049725316464901,20,0.18699054538776275,0.04290494875303239,0.07098269204495267,0.005894769096630626,0.0006725205967086367,1.439167205796258,0,0,0.118255659006536
beijing_light,psann_conv,3,30662,30662,30662,0,0.0,1996,427,427,"[24, 16]",20,0.31506064534187317,160,0.22446098923683167,0.4737731411095733,0.31068554520606995,0.5867020487785339,0.7934438586235046,0.31506067514419556,0.5613026591280283,0.33472394943237305,0.5955531597137451,0.6925258636474609,0.2049827128648758,0.4527501660572592,0.34416255354881287,0.8018437623977661,0.5175386071205139,20,0.19258800070444093,0.04403515616187239,0.12958098596049245,0.05476468205160927,0.0066852787094831,1.5915786581609759,0,0,1.0963644220028073
beijing_light,mlp,3,30759,30759,30662,97,0.003163524884221512,1996,427,427,"[24, 16]",20,0.7786876559257507,160,0.10276338458061218,0.32056728557451425,0.21904559433460236,0.4822060167789459,0.905433177947998,0.7786876559257507,0.8824328053318001,0.5186695456504822,0.7413495779037476,0.2398117333650589,0.40642401576042175,0.6375139337774679,0.45119693875312805,0.7904067635536194,0.043415606021881104,20,0.18537344584243318,0.042638084819869845,0.08686373537522318,0.007043927905033343,0.0008081865638814633,1.2135311285474282,0,0,0.14123532897792757
beijing_light,psann_conv,4,30662,30662,30662,0,0.0,1996,427,427,"[24, 16]",20,0.32800814509391785,160,0.21732942759990692,0.46618604397805274,0.2990669310092926,0.5697686076164246,0.8000063896179199,0.32800814509391785,0.5727199534623513,0.34493350982666016,0.6089664697647095,0.6798768043518066,0.21150754392147064,0.4598994932824678,0.3507160246372223,0.8107284307479858,0.5021815896034241,20,0.19760668071470866,0.044356027778952006,0.1291098215512634,0.06134588530403562,0.007430913402276929,1.3545340771443046,0,0,1.2287928460282274
beijing_light,mlp,4,30759,30759,30662,97,0.003163524884221512,1996,427,427,"[24, 16]",20,0.7266960144042969,160,0.11036685854196548,0.3322150787396103,0.22485046088695526,0.48747339844703674,0.8984362483024597,0.7266960740089417,0.8524647054329825,0.4989619255065918,0.7381982803344727,0.2906387448310852,0.40008386969566345,0.6325218333746776,0.44827553629875183,0.787014901638031,0.058333348482847214,20,0.19269738827566488,0.044547678788601504,0.0701565609896532,0.01955873075639829,0.0022204412642167883,1.456881640573116,0,0,0.391880271025002
